cosit,year,month,day,hour,minute,second,millisecond,minuteofday,lane,lanename,straddlelane,straddlelanename,class,classname,length,headway,gap,speed,weight,temperature,duration,validitycode,numberofaxles,axleweights,axlespacings
1081,2021,1,29,16,39,52,0,999,2,Westbound 2,0,,2,CAR,4.4,1.98,1.53,90.0,0.0,0.0,0,0,0,,
1500,2021,1,29,9,32,38,60,572,5,Northbound 5,0,,3,LGV,5.8,1.31,0.58,85.0,0.0,0.0,0,0,0,,
1034,2021,1,29,6,16,2,40,376,4,Sountbound 2,0,,2,CAR,4.5,1.69,1.29,79.0,0.0,0.0,0,0,0,,
1506,2021,1,29,11,48,38,50,708,3,Northbound 3,0,,2,CAR,4.1,1.57,1.07,95.0,0.0,0.0,0,0,0,,
1506,2021,1,29,7,16,34,0,436,4,Southbound 3,0,,3,LGV,5.1,3.5,3.38,135.0,0.0,0.0,0,0,0,,
1113,2021,1,29,14,9,43,0,849,5,Southbound 2,0,,2,CAR,4.6,9.8,9.67,105.0,0.0,0.0,0,0,0,,
1034,2021,1,29,9,32,41,70,572,4,Sountbound 2,0,,2,CAR,4.1,1.23,0.69,72.0,0.0,0.0,0,0,0,,
1505,2021,1,29,16,17,6,0,977,5,Southbound 4,0,,2,CAR,4.3,1.61,1.33,97.0,0.0,0.0,0,0,0,,
1712,2021,1,29,22,16,33,0,1336,1,Southbound,0,,2,CAR,4.2,1.13,0.35,91.0,0.0,0.0,0,0,0,,
1502,2021,1,29,17,17,59,0,1037,7,Southbound 2,0,,3,LGV,6.0,7.9,7.71,78.0,0.0,0.0,0,0,0,,
