date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
2021-10-31,15:29:07,3063852,3.5.2,x86_64,linux-gnu,ggplot2,3.3.5,GB,9
2021-10-31,15:29:07,3524688,3.5.2,x86_64,linux-gnu,sf,1.0-3,GB,9
2021-10-31,15:28:59,40232,4.1.1,x86_64,mingw32,crayon,1.4.2,NA,8
2021-10-31,15:29:12,10565,4.1.1,x86_64,linux-gnu,labeling,0.4.2,NL,969
2021-10-31,15:29:09,689406,NA,NA,NA,bit,4.0.4,US,119
2021-10-31,15:28:16,2820666,4.1.1,x86_64,linux-gnu,corrplot,0.90,GB,807
2021-10-31,15:29:06,989851,NA,NA,NA,googlePolylines,0.8.2,US,970
2021-10-31,15:27:18,19536,NA,NA,NA,labelVector,0.1.2,US,716
2021-10-31,15:29:03,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
2021-10-31,15:29:06,299898,4.0.2,x86_64,mingw32,labelled,2.9.0,SG,971
2021-10-31,15:29:07,265974,4.0.2,x86_64,mingw32,commonmark,1.7,SG,971
2021-10-31,15:29:07,3639945,4.0.2,x86_64,mingw32,sass,0.4.0,SG,971
2021-10-31,15:29:08,360865,4.0.2,x86_64,mingw32,broom.helpers,1.4.0,SG,971
2021-10-31,15:29:08,5969334,4.0.2,x86_64,mingw32,gt,0.3.1,SG,971
2021-10-31,15:29:09,3114323,4.0.2,x86_64,mingw32,gtsummary,1.5.0,SG,971
2021-10-31,15:29:03,905700,4.0.3,x86_64,mingw32,htmlwidgets,1.5.4,NA,8
2021-10-31,15:29:03,337172,4.0.3,x86_64,mingw32,png,0.1-7,NA,8
2021-10-31,15:29:04,4061988,4.0.3,x86_64,mingw32,raster,3.5-2,NA,8
2021-10-31,15:29:04,1823309,4.0.3,x86_64,mingw32,sp,1.4-5,NA,8
2021-10-31,15:29:05,3000372,4.0.3,x86_64,mingw32,viridis,0.6.2,NA,8
2021-10-31,15:29:05,50594,4.0.3,x86_64,mingw32,leaflet.providers,1.9.0,NA,8
2021-10-31,15:29:05,2343819,4.0.3,x86_64,mingw32,leaflet,2.0.4.1,NA,8
2021-10-31,15:29:07,290393,NA,NA,NA,rgeos,0.5-8,GB,13
2021-10-31,15:29:07,853431,4.0.5,x86_64,linux-gnu,dplyr,1.0.7,UA,922
2021-10-31,15:29:07,1284989,4.1.1,x86_64,mingw32,recipes,0.1.17,NA,8
2021-10-31,15:29:10,1338715,NA,NA,NA,brms,1.7.0,US,301
2021-10-31,15:28:59,188129,4.1.1,x86_64,darwin17.0,fastmap,1.1.0,NA,8
2021-10-31,15:29:03,211299,4.1.1,aarch64,darwin20,utf8,1.2.2,NA,8
2021-10-31,15:29:03,29916,4.0.5,x86_64,linux-gnu,progress,1.2.2,UA,922
2021-10-31,15:29:03,64312,4.0.5,x86_64,linux-gnu,cellranger,1.1.0,UA,922
2021-10-31,15:28:57,134140,4.1.1,x86_64,darwin17.0,foreach,1.5.1,NA,8
2021-10-31,15:28:58,47871,4.1.1,x86_64,darwin17.0,sys,3.4,NA,8
2021-10-31,15:29:09,47764,NA,NA,NA,sys,3.4,US,119
2021-10-31,15:28:01,146583,4.0.4,x86_64,mingw32,foreach,1.5.1,CN,860
2021-10-31,15:28:02,862062,4.0.4,x86_64,mingw32,ModelMetrics,1.2.2.2,CN,860
2021-10-31,15:28:03,1532074,4.0.4,x86_64,mingw32,pROC,1.18.0,CN,860
2021-10-31,15:28:04,1284640,4.0.4,x86_64,mingw32,recipes,0.1.17,CN,860
2021-10-31,15:28:05,818436,4.0.4,x86_64,mingw32,reshape2,1.4.4,CN,860
2021-10-31,15:28:06,105553,4.0.4,x86_64,mingw32,backports,1.3.0,CN,860
2021-10-31,15:28:06,76965,4.0.4,x86_64,mingw32,evaluate,0.14,CN,860
2021-10-31,15:28:07,47120,4.0.4,x86_64,mingw32,highr,0.9,CN,860
2021-10-31,15:28:07,208347,4.0.4,x86_64,mingw32,yaml,2.2.1,CN,860
2021-10-31,15:28:07,358485,4.0.4,x86_64,mingw32,xfun,0.26,CN,860
2021-10-31,15:28:08,594801,4.0.4,x86_64,mingw32,matrixStats,0.61.0,CN,860
2021-10-31,15:29:02,2568908,NA,NA,NA,rgl,0.107.14,GB,9
2021-10-31,15:29:06,252371,4.1.1,aarch64,darwin20,fansi,0.5.0,NA,8
2021-10-31,15:29:08,249328,4.1.1,i386,mingw32,fansi,0.5.0,GB,972
2021-10-31,15:29:08,23060,4.1.1,i386,mingw32,pkgconfig,2.0.3,GB,972
2021-10-31,15:29:08,430402,4.1.1,i386,mingw32,purrr,0.3.4,GB,972
2021-10-31,15:29:09,210420,4.1.1,i386,mingw32,utf8,1.2.2,GB,972
2021-10-31,15:29:10,49738,4.1.1,i386,mingw32,ellipsis,0.3.2,GB,972
2021-10-31,15:29:10,76627,4.1.1,i386,mingw32,generics,0.1.1,GB,972
2021-10-31,15:29:01,599853,NA,NA,NA,ggsignif,0.6.3,CN,793
2021-10-31,15:28:39,8604,NA,NA,NA,ellipsis,0.3.2,GB,892
2021-10-31,15:29:06,755851,4.1.1,x86_64,mingw32,rjson,0.2.20,US,878
2021-10-31,15:29:12,818457,4.1.1,x86_64,mingw32,reshape2,1.4.4,NA,8
2021-10-31,15:29:01,46077,4.1.1,x86_64,darwin17.0,rappdirs,0.3.3,NA,8
2021-10-31,15:28:58,1122198,4.1.1,x86_64,darwin17.0,pROC,1.18.0,NA,8
2021-10-31,15:29:08,802034,NA,NA,NA,V8,3.4.2,GB,13
2021-10-31,15:29:08,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:29:04,460592,4.0.5,x86_64,linux-gnu,snakecase,0.11.0,UA,922
2021-10-31,15:29:01,2118345,4.1.0,x86_64,mingw32,googleLanguageR,0.3.0,MA,792
2021-10-31,15:29:05,2976773,4.0.2,x86_64,mingw32,deSolve,1.30,SN,811
2021-10-31,15:29:07,397902,4.0.2,x86_64,mingw32,devtools,2.4.2,SN,811
2021-10-31,15:29:07,996158,4.0.2,x86_64,mingw32,diffobj,0.3.5,SN,811
2021-10-31,15:29:08,269921,4.0.2,x86_64,mingw32,digest,0.6.28,SN,811
2021-10-31,15:29:09,1346793,4.0.2,x86_64,mingw32,dplyr,1.0.7,SN,811
2021-10-31,15:29:10,1794471,4.0.2,x86_64,mingw32,DT,0.19,SN,811
2021-10-31,15:29:05,1905180,NA,NA,NA,ggpubr,0.4.0,CN,793
2021-10-31,15:28:10,3588665,4.0.4,x86_64,mingw32,caret,6.0-90,CN,860
2021-10-31,15:28:11,2705345,4.0.4,x86_64,mingw32,RcppArmadillo,0.10.7.0.0,CN,860
2021-10-31,15:28:13,1795223,4.0.4,x86_64,mingw32,broom,0.7.9,CN,860
2021-10-31,15:28:14,116576,4.0.4,x86_64,mingw32,numDeriv,2016.8-1.1,CN,860
2021-10-31,15:28:14,1469500,4.0.4,x86_64,mingw32,knitr,1.36,CN,860
2021-10-31,15:28:15,1066788,4.0.4,x86_64,mingw32,SparseM,1.81,CN,860
2021-10-31,15:29:06,104807,4.1.1,x86_64,mingw32,hms,1.1.1,CO,823
2021-10-31,15:29:06,38432,4.1.1,x86_64,mingw32,prettyunits,1.1.1,CO,823
2021-10-31,15:29:06,84770,4.1.1,x86_64,mingw32,R6,2.5.1,CO,823
2021-10-31,15:29:06,86524,4.1.1,x86_64,mingw32,progress,1.2.2,CO,823
2021-10-31,15:29:07,3524688,NA,NA,NA,sf,1.0-3,GB,13
2021-10-31,15:29:00,1570640,4.1.1,x86_64,mingw32,car,3.0-11,BJ,973
2021-10-31,15:29:08,290393,3.5.2,x86_64,linux-gnu,rgeos,0.5-8,GB,9
2021-10-31,15:29:03,427739,3.5.2,x86_64,linux-gnu,ragg,1.2.0,GB,9
2021-10-31,15:29:07,3777703,NA,NA,NA,mapdeck,0.3.4,US,970
2021-10-31,15:29:03,371839,3.5.2,x86_64,linux-gnu,devtools,2.4.2,GB,9
